viti,komuna,variabla,gjinia,Mësimdhënësit sipas niveleve
2015/2016,Gjithsej,Paraf.fillor dhe i mesëm i ulët,Gjithsej,17563
2015/2016,Gjithsej,I Mesëm i lartë,Meshkuj,3170
2015/2016,Gjithsej,I Mesëm i lartë,Femra,2105
2015/2016,Gjithsej,I Mesëm i lartë,Gjithsej,5275
2016/2017,Deçan,Parashkollor,Meshkuj,-
2016/2017,Deçan,Parashkollor,Femra,-
2016/2017,Deçan,Parashkollor,Gjithsej,-
2016/2017,Deçan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,170
2016/2017,Deçan,Paraf.fillor dhe i mesëm i ulët,Femra,201
2016/2017,Deçan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,371
2016/2017,Deçan,I Mesëm i lartë,Meshkuj,56
2016/2017,Deçan,I Mesëm i lartë,Femra,28
2016/2017,Deçan,I Mesëm i lartë,Gjithsej,84
2016/2017,Dragash,Parashkollor,Meshkuj,-
2016/2017,Dragash,Parashkollor,Femra,-
2016/2017,Dragash,Parashkollor,Gjithsej,-
2016/2017,Dragash,Paraf.fillor dhe i mesëm i ulët,Meshkuj,278
2016/2017,Dragash,Paraf.fillor dhe i mesëm i ulët,Femra,41
2016/2017,Dragash,Paraf.fillor dhe i mesëm i ulët,Gjithsej,319
2016/2017,Dragash,I Mesëm i lartë,Meshkuj,48
2016/2017,Dragash,I Mesëm i lartë,Femra,6
2016/2017,Dragash,I Mesëm i lartë,Gjithsej,54
2016/2017,Ferizaj,Parashkollor,Meshkuj,-
2016/2017,Ferizaj,Parashkollor,Femra,25
2016/2017,Ferizaj,Parashkollor,Gjithsej,25
2016/2017,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Meshkuj,440
2016/2017,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Femra,698
2016/2017,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Gjithsej,1138
2016/2017,Ferizaj,I Mesëm i lartë,Meshkuj,232
2016/2017,Ferizaj,I Mesëm i lartë,Femra,188
2016/2017,Ferizaj,I Mesëm i lartë,Gjithsej,420
2016/2017,Fushë Kosovë,Parashkollor,Meshkuj,-
2016/2017,Fushë Kosovë,Parashkollor,Femra,20
2016/2017,Fushë Kosovë,Parashkollor,Gjithsej,20
2016/2017,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,77
2016/2017,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Femra,194
2016/2017,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,271
2016/2017,Fushë Kosovë,I Mesëm i lartë,Meshkuj,30
2016/2017,Fushë Kosovë,I Mesëm i lartë,Femra,36
2016/2017,Fushë Kosovë,I Mesëm i lartë,Gjithsej,66
2016/2017,Gjakovë,Parashkollor,Meshkuj,-
2016/2017,Gjakovë,Parashkollor,Femra,52
2016/2017,Gjakovë,Parashkollor,Gjithsej,52
2016/2017,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,370
2016/2017,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Femra,609
2016/2017,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,979
2016/2017,Gjakovë,I Mesëm i lartë,Meshkuj,127
2016/2017,Gjakovë,I Mesëm i lartë,Femra,160
2016/2017,Gjakovë,I Mesëm i lartë,Gjithsej,287
2016/2017,Gjilan,Parashkollor,Meshkuj,-
2016/2017,Gjilan,Parashkollor,Femra,35
2016/2017,Gjilan,Parashkollor,Gjithsej,35
2016/2017,Gjilan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,404
2016/2017,Gjilan,Paraf.fillor dhe i mesëm i ulët,Femra,579
2016/2017,Gjilan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,983
2016/2017,Gjilan,I Mesëm i lartë,Meshkuj,260
2016/2017,Gjilan,I Mesëm i lartë,Femra,146
2016/2017,Gjilan,I Mesëm i lartë,Gjithsej,406
2016/2017,Gllogovc,Parashkollor,Meshkuj,-
2016/2017,Gllogovc,Parashkollor,Femra,13
2016/2017,Gllogovc,Parashkollor,Gjithsej,13
2016/2017,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Meshkuj,348
2016/2017,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Femra,284
2016/2017,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Gjithsej,632
2016/2017,Gllogovc,I Mesëm i lartë,Meshkuj,120
2016/2017,Gllogovc,I Mesëm i lartë,Femra,51
2016/2017,Gllogovc,I Mesëm i lartë,Gjithsej,171
2016/2017,Hani i Elezit,Parashkollor,Meshkuj,-
2016/2017,Hani i Elezit,Parashkollor,Femra,-
2016/2017,Hani i Elezit,Parashkollor,Gjithsej,-
2016/2017,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Meshkuj,39
2016/2017,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Femra,44
2016/2017,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Gjithsej,83
2016/2017,Hani i Elezit,I Mesëm i lartë,Meshkuj,12
2016/2017,Hani i Elezit,I Mesëm i lartë,Femra,7
2016/2017,Hani i Elezit,I Mesëm i lartë,Gjithsej,19
