Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Gllogovc,2021-2022,Para-fillor,5-6,Mashkull,377
Gllogovc,2021-2022,Para-fillor,5-6,Femer,397
Hani i Elezit,2021-2022,Para-fillor,5-6,Mashkull,60
Hani i Elezit,2021-2022,Para-fillor,5-6,Femer,57
Istog,2021-2022,Para-fillor,5-6,Mashkull,232
Istog,2021-2022,Para-fillor,5-6,Femer,215
Junik,2021-2022,Para-fillor,5-6,Mashkull,-
Junik,2021-2022,Para-fillor,5-6,Femer,-
Kaqanik,2021-2022,Para-fillor,5-6,Mashkull,257
Kaqanik,2021-2022,Para-fillor,5-6,Femer,231
Kamenice,2021-2022,Para-fillor,5-6,Mashkull,153
Kamenice,2021-2022,Para-fillor,5-6,Femer,144
Kline,2021-2022,Para-fillor,5-6,Mashkull,225
Kline,2021-2022,Para-fillor,5-6,Femer,207
Leposaviq,2021-2022,Para-fillor,5-6,Mashkull,-
Leposaviq,2021-2022,Para-fillor,5-6,Femer,-
Lipjan,2021-2022,Para-fillor,5-6,Mashkull,419
Lipjan,2021-2022,Para-fillor,5-6,Femer,399
Malisheve,2021-2022,Para-fillor,5-6,Mashkull,446
Malisheve,2021-2022,Para-fillor,5-6,Femer,400
Mamushe,2021-2022,Para-fillor,5-6,Mashkull,34
Mamushe,2021-2022,Para-fillor,5-6,Femer,30
Mitrovice,2021-2022,Para-fillor,5-6,Mashkull,442
Mitrovice,2021-2022,Para-fillor,5-6,Femer,429
Novoberde,2021-2022,Para-fillor,5-6,Mashkull,29
Novoberde,2021-2022,Para-fillor,5-6,Femer,26
Obiliq,2021-2022,Para-fillor,5-6,Mashkull,170
Obiliq,2021-2022,Para-fillor,5-6,Femer,134
Peje,2021-2022,Para-fillor,5-6,Mashkull,516
Peje,2021-2022,Para-fillor,5-6,Femer,502
Podujeve,2021-2022,Para-fillor,5-6,Mashkull,503
Podujeve,2021-2022,Para-fillor,5-6,Femer,487
Prishtine,2021-2022,Para-fillor,5-6,Mashkull,1171
Prishtine,2021-2022,Para-fillor,5-6,Femer,1087
Prizren,2021-2022,Para-fillor,5-6,Mashkull,839
Prizren,2021-2022,Para-fillor,5-6,Femer,763
Rahovec,2021-2022,Para-fillor,5-6,Mashkull,395
Rahovec,2021-2022,Para-fillor,5-6,Femer,312
